iter	Passed	Remaining
0	134	133908
1	136	68099
2	138	46040
3	140	34994
4	142	28374
5	144	23975
6	146	20817
7	148	18443
8	150	16592
9	152	15112
10	154	13902
11	156	12898
12	158	12054
13	161	11345
14	163	10715
15	165	10161
16	167	9671
17	169	9238
18	171	8853
19	173	8505
20	175	8188
21	177	7900
22	179	7636
23	181	7391
24	183	7166
25	185	6964
26	187	6772
27	189	6593
28	191	6425
29	193	6270
30	195	6124
31	197	5986
32	200	5867
33	202	5746
34	204	5630
35	206	5521
36	208	5418
37	210	5320
38	212	5227
39	214	5139
40	216	5060
41	218	4981
42	220	4905
43	222	4832
44	224	4762
45	226	4698
46	228	4634
47	230	4573
48	232	4514
49	234	4458
50	236	4402
51	238	4349
52	240	4299
53	242	4250
54	244	4203
55	246	4157
56	248	4113
57	250	4070
58	252	4028
59	254	3988
60	256	3952
61	259	3921
62	261	3885
63	263	3850
64	265	3816
65	267	3783
66	269	3751
67	270	3707
68	272	3678
69	274	3648
70	276	3619
71	278	3591
72	280	3563
73	282	3537
74	284	3511
75	286	3486
76	288	3461
77	290	3436
78	292	3412
79	294	3389
80	296	3366
81	298	3344
82	300	3323
83	302	3303
84	304	3275
85	306	3255
86	307	3229
87	309	3209
88	311	3191
89	314	3175
90	316	3157
91	318	3139
92	320	3121
93	322	3105
94	324	3087
95	326	3070
96	328	3055
97	330	3040
98	332	3025
99	334	3014
100	337	2999
101	338	2976
102	340	2964
103	342	2954
104	345	2942
105	347	2929
106	349	2915
107	351	2901
108	353	2889
109	355	2876
110	357	2865
111	359	2852
112	361	2840
113	363	2827
114	365	2815
115	367	2800
116	369	2788
117	371	2777
118	373	2762
119	375	2751
120	377	2739
121	379	2728
122	380	2710
123	382	2699
124	384	2689
125	386	2678
126	388	2668
127	389	2653
128	391	2644
129	393	2634
130	395	2624
131	397	2614
132	399	2604
133	401	2595
134	403	2586
135	405	2576
136	407	2567
137	409	2556
138	411	2547
139	413	2538
140	415	2531
141	417	2522
142	419	2513
143	421	2505
144	423	2496
145	425	2488
146	427	2480
147	429	2472
148	431	2464
149	433	2456
150	435	2448
151	437	2439
152	439	2432
153	441	2425
154	443	2417
155	445	2409
156	447	2402
157	449	2394
158	451	2387
159	453	2379
160	455	2374
161	457	2368
162	460	2363
163	462	2357
164	464	2350
165	466	2343
166	468	2336
167	470	2329
168	472	2322
169	474	2315
170	476	2309
171	478	2302
172	480	2296
173	482	2289
174	484	2284
175	486	2278
176	488	2271
177	490	2265
178	492	2259
179	494	2253
180	495	2242
181	497	2236
182	499	2230
183	501	2224
184	503	2218
185	505	2212
186	507	2206
187	509	2200
188	511	2194
189	513	2189
190	515	2183
191	517	2177
192	519	2171
193	521	2165
194	523	2160
195	525	2155
196	527	2150
197	529	2144
198	531	2138
199	533	2133
200	535	2128
201	537	2122
202	539	2117
203	541	2112
204	543	2107
205	545	2101
206	547	2096
207	549	2091
208	551	2086
209	553	2081
210	555	2076
211	557	2072
212	559	2067
213	561	2062
214	563	2057
215	565	2052
216	567	2047
217	569	2042
218	571	2037
219	573	2032
220	575	2028
221	577	2023
222	579	2018
223	581	2013
224	583	2009
225	585	2004
226	587	2000
227	589	1995
228	591	1990
229	593	1985
230	595	1981
231	597	1976
232	599	1972
233	601	1968
234	603	1963
235	605	1959
236	607	1954
237	609	1950
238	611	1945
239	613	1941
240	615	1937
241	616	1932
242	618	1928
243	620	1923
244	622	1919
245	624	1915
246	626	1911
247	629	1907
248	631	1904
249	633	1900
250	635	1896
251	637	1892
252	639	1887
253	641	1883
254	643	1879
255	645	1875
256	647	1871
257	649	1867
258	651	1863
259	653	1859
260	655	1855
261	657	1851
262	659	1848
263	661	1844
264	663	1840
265	665	1836
266	667	1832
267	669	1828
268	671	1825
269	673	1821
270	675	1817
271	677	1813
272	679	1809
273	681	1805
274	683	1801
275	685	1798
276	687	1795
277	690	1792
278	692	1788
279	694	1785
280	696	1782
281	698	1778
282	700	1775
283	702	1771
284	704	1768
285	706	1764
286	708	1760
287	710	1756
288	712	1753
289	714	1749
290	716	1746
291	718	1742
292	720	1738
293	722	1735
294	724	1731
295	726	1728
296	728	1724
297	730	1721
298	732	1718
299	734	1714
300	736	1710
301	738	1707
302	740	1704
303	742	1701
304	745	1697
305	747	1694
306	749	1691
307	751	1687
308	753	1684
309	755	1681
310	757	1678
311	759	1675
312	761	1671
313	763	1668
314	765	1665
315	767	1661
316	769	1658
317	771	1655
318	773	1652
